setting,task_id,replicate,coverage,original_admitted,candidate_admitted,original_W,candidate_W,delta_W,original_S,candidate_S,delta_S,original_H,candidate_H,delta_H,original_A,candidate_A,delta_A,original_WS,candidate_WS,delta_WS,original_WA,candidate_WA,delta_WA,original_SH,candidate_SH,delta_SH,original_HA,candidate_HA,delta_HA
user,da-18-5,1,none->none,0,0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,92.0,-8.0,69,67,-2,0.0,0.0,0.0,31.0,33.0,2.0,0.0,8.0,8.0,31.0,25.0,-6.0
user,da-18-5,2,none->admitted,0,1,100.0,100.0,0.0,82.0,100.0,18.0,82.0,98.33333333333334,16.333333333333343,43.5,50,6.5,18.0,0.0,-18.0,56.5,50.0,-6.5,0.0,1.6666666666666643,1.6666666666666643,38.5,48.333333333333336,9.833333333333336
user,da-18-5,3,admitted->none,1,0,100.0,100.0,0.0,79.5,91.0,11.5,79.5,82.83333333333334,3.333333333333343,50,53,3,20.5,9.0,-11.5,50.0,47.0,-3.0,0.0,8.166666666666664,8.166666666666664,29.5,29.833333333333336,0.3333333333333357
user,da-18-7,1,admitted->admitted,1,1,60.0,50.0,-10.0,25.0,68.5,43.5,14.166666666666666,74.33333333333333,60.166666666666664,26.5,61,34.5,35.0,-18.5,-53.5,33.5,-11.0,-44.5,10.833333333333334,-5.833333333333332,-16.666666666666664,-12.333333333333334,13.333333333333332,25.666666666666664
user,da-18-7,2,none->none,0,0,100.0,100.0,0.0,96.0,96.0,0.0,97.33333333333334,97.33333333333334,0.0,82,60,-22,4.0,4.0,0.0,18.0,40.0,22.0,-1.3333333333333357,-1.3333333333333357,0.0,15.333333333333336,37.333333333333336,22.0
user,da-18-7,3,admitted->admitted,1,1,100.0,100.0,0.0,92.5,100.0,7.5,92.5,100.0,7.5,83,71,-12,7.5,0.0,-7.5,17.0,29.0,12.0,0.0,0.0,0.0,9.5,29.0,19.5
user,da-19-1,1,none->admitted,0,1,100.0,100.0,0.0,93.0,100.0,7.0,93.0,100.0,7.0,84,90.5,6.5,7.0,0.0,-7.0,16.0,9.5,-6.5,0.0,0.0,0.0,9.0,9.5,0.5
user,da-19-1,2,admitted->admitted,2,1,100.0,100.0,0.0,98.0,97.5,-0.5,97.33333333333333,97.5,0.1666666666666714,88.5,92.5,4.0,2.0,2.5,0.5,11.5,7.5,-4.0,0.6666666666666714,0.0,-0.6666666666666714,8.833333333333329,5.0,-3.8333333333333286
user,da-19-1,3,admitted->none,1,0,100.0,100.0,0.0,97.5,96.0,-1.5,99.16666666666666,97.33333333333334,-1.8333333333333144,89,84.5,-4.5,2.5,4.0,1.5,11.0,15.5,4.5,-1.6666666666666643,-1.3333333333333357,0.3333333333333286,10.166666666666664,12.833333333333336,2.6666666666666714
user,da-19-6,1,admitted->none,1,0,74.0,54.0,-20.0,61.5,25.5,-36.0,53.5,25.333333333333336,-28.166666666666664,75,56,-19,12.5,28.5,16.0,-1.0,-2.0,-1.0,8.0,0.16666666666666607,-7.833333333333334,-21.5,-30.666666666666664,-9.166666666666664
user,da-19-6,2,admitted->admitted,1,1,62.0,27.0,-35.0,39.0,34.5,-4.5,35.833333333333336,27.833333333333336,-8.0,69,49,-20,23.0,-7.5,-30.5,-7.0,-22.0,-15.0,3.166666666666666,6.666666666666666,3.5,-33.16666666666667,-21.166666666666664,12.000000000000007
user,da-19-6,3,none->admitted,0,1,54.0,22.0,-32.0,37.5,31.5,-6.0,37.16666666666667,31.833333333333336,-5.333333333333336,67,66.5,-0.5,16.5,-9.5,-26.0,-13.0,-44.5,-31.5,0.33333333333333215,-0.3333333333333339,-0.6666666666666661,-29.833333333333332,-34.666666666666664,-4.833333333333332
