detector,scope,outcome,feature,feature_label,unit,complete_pairs,tasks,informative_task_feedback_prompt_strata,within_stratum_sd_in_reported_units,risk_difference_per_unit,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,within_stratum_permutation_p,standardized_risk_difference,standardized_ci_low,standardized_ci_high,bh_q_within_scope_feature_family,bh_q_across_majority_scope_feature_family,bh_q_across_detector_sensitivity_family
gpt-5.6-sol,base,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",178,30,60,0.6968823062162136,-0.0448004579525385,-0.11511341839391466,0.027982706488001847,0.32986701329867013,-0.031220646457507537,-0.08022050448678315,0.01950065303153013,0.58994100589941,,0.808823465479539
gpt-5.6-sol,base,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,178,30,59,1.1213308454151918,-0.026417893658901195,-0.0887958299713257,0.03707926235558233,0.3264673532646735,-0.02962319903062431,-0.09956950309109026,0.04157812060455683,0.58994100589941,,0.808823465479539
gpt-5.6-sol,diligent,paired_difference,added_chars,Rubric length,"+1,000 characters",174,30,60,0.8351650810730045,0.06551030810685504,0.015448828513390722,0.11621237077901635,0.013598640135986401,0.05471192178117909,0.012902322117868905,0.09705651406334324,0.0287971202879712,,0.3455654434556544
gpt-5.6-sol,diligent,paired_difference,added_criteria,Criterion count,+1 criterion,174,30,51,0.9468641529479986,0.05341880341880342,0.009875632089654229,0.09662986555616665,0.021597840215978402,0.05058035005064096,0.009350882013396525,0.09149535579931872,0.0287971202879712,,0.3455654434556544
gpt-5.6-sol,diligent,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",174,30,60,0.5251524617156212,0.08938674296706434,0.021875892378098893,0.16513875974871867,0.021497850214978503,0.04694166811389533,0.01148817873458463,0.08672302620670415,0.0287971202879712,,0.3455654434556544
gpt-5.6-sol,diligent,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,174,30,59,1.0465534777311882,-0.0016470388525555958,-0.03439591588876416,0.033334209434137875,0.932906709329067,-0.0017237142391004444,-0.03599716539313556,0.034886032810716776,0.932906709329067,,0.9863524285869285
claude-opus-4-8,pooled,paired_difference,added_chars,Rubric length,"+1,000 characters",359,30,120,1.008518846475092,-0.0074400159848423955,-0.021824975792222274,0.005783969020499938,0.38716128387161286,-0.007503396338789499,-0.022010899410318814,0.0058332417646022655,0.5162150451621504,,0.808823465479539
claude-opus-4-8,pooled,paired_difference,added_criteria,Criterion count,+1 criterion,359,30,112,1.084198997039316,-0.007898894154818327,-0.020834138330757347,0.0027989012489148947,0.2820717928207179,-0.008563973120373745,-0.022588351882385484,0.0030345659268856177,0.5162150451621504,,0.808823465479539
claude-opus-4-8,pooled,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",359,30,120,0.6199167521162158,-0.014948743397769543,-0.04142724156036646,0.011061282151043825,0.31826817318268175,-0.009266976455364019,-0.025681441037236286,0.006857074105316157,0.5162150451621504,,0.808823465479539
claude-opus-4-8,pooled,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,359,30,119,1.0712706062451205,-0.0017886218702735923,-0.009288254258352308,0.005062784495297953,0.6599340065993401,-0.0019160980353112725,-0.009950233770303898,0.0054236122155662345,0.6599340065993401,,0.962085609620856
claude-opus-4-8,base,paired_difference,added_chars,Rubric length,"+1,000 characters",180,30,60,1.1371882967311184,-0.013234497044004492,-0.03516643101179915,0.006929591164493119,0.2973702629737026,-0.015050115151564491,-0.03999085378442026,0.007880249973392938,0.47181948471819485,,0.808823465479539
claude-opus-4-8,base,paired_difference,added_criteria,Criterion count,+1 criterion,180,30,60,1.1879019787470309,-0.013123359580052493,-0.03436018957345972,0.0059748531648460106,0.2803719628037196,-0.01558926481295316,-0.040816537184435904,0.0070975398972435355,0.47181948471819485,,0.808823465479539
